Session_ID,Intent,Referrer,Device,Time_of_Day,Category,Search_Used,Search_Query,Scroll_Depth,Product_Views,Filter_Used,Sort_Type,Session_Duration_sec,Add_to_Cart,Purchase
45,Research,Google,Desktop,Afternoon,Fashion,True,white trainers,59,10,True,Highest Rated,425,False,False
46,Research,Email,Desktop,Evening,Beauty,True,lipstick,71,8,True,Price Low-High,591,False,False
47,Explorer,Instagram,Tablet,Morning,Sale,False,,97,14,False,Trending,748,False,False
48,Price-sensitive,Google,Mobile,Afternoon,Sale,True,discount,45,5,True,Price Low-High,443,True,True
49,Price-sensitive,Direct,Desktop,Morning,Sale,False,,64,6,True,Price Low-High,361,True,False
50,Goal-driven,Google,Desktop,Morning,Beauty,True,skincare,26,5,True,Newest,139,True,True
51,Goal-driven,Google,Mobile,Morning,Electronics,True,gaming mouse,44,4,False,Relevance,218,True,False
52,Explorer,Instagram,Tablet,Morning,Fashion,False,,82,12,False,Trending,846,False,False
53,Research,Google,Desktop,Morning,Home,False,,72,14,True,Price Low-High,937,False,False
54,Research,Email,Desktop,Afternoon,Home,True,coffee table,63,14,True,Price Low-High,750,False,False
55,Explorer,Facebook,Tablet,Morning,Electronics,False,,93,16,False,Trending,576,True,False
56,Price-sensitive,Direct,Tablet,Morning,Sale,True,discount,45,8,True,Price Low-High,443,True,False
57,Explorer,Instagram,Desktop,Evening,Electronics,False,,100,15,False,Trending,796,False,False
58,Price-sensitive,Email,Desktop,Morning,Sale,False,,51,10,True,Price Low-High,544,True,False
59,Explorer,Instagram,Mobile,Evening,Beauty,False,,90,17,False,Trending,362,True,False
60,Explorer,Instagram,Mobile,Afternoon,Running,False,,100,17,False,Trending,884,False,False
61,Price-sensitive,Direct,Tablet,Morning,Sale,False,,43,10,True,Price Low-High,467,False,False
62,Research,Google,Desktop,Evening,Running,True,nike shoes,79,15,True,Highest Rated,730,False,False
63,Price-sensitive,Google,Desktop,Evening,Sale,False,,54,7,True,Price Low-High,227,False,False
64,Price-sensitive,Direct,Mobile,Afternoon,Sale,True,discount,50,5,True,Price Low-High,586,False,False
65,Research,Email,Desktop,Evening,Home,True,chair,80,10,True,Highest Rated,570,False,False
66,Explorer,Direct,Mobile,Afternoon,Beauty,False,,89,18,False,Trending,497,False,False
67,Explorer,Instagram,Mobile,Afternoon,Fashion,False,,82,18,False,Trending,839,False,False
68,Goal-driven,Google,Mobile,Morning,Beauty,True,skincare,47,3,True,Newest,86,True,False
69,Research,Direct,Desktop,Morning,Electronics,True,gaming mouse,60,8,True,Price Low-High,699,False,False
70,Research,Google,Desktop,Afternoon,Running,True,nike shoes,78,8,True,Highest Rated,814,False,False
71,Goal-driven,Google,Mobile,Morning,Beauty,True,skincare,21,3,True,Relevance,260,True,True
72,Research,Email,Desktop,Morning,Sale,True,clearance,77,11,True,Highest Rated,765,False,False
73,Explorer,Instagram,Mobile,Afternoon,Electronics,False,,91,18,False,Trending,704,False,False
74,Research,Email,Desktop,Evening,Beauty,False,,69,13,True,Highest Rated,710,False,False
75,Research,Direct,Desktop,Morning,Running,True,nike shoes,69,13,True,Highest Rated,971,False,False
76,Goal-driven,Google,Mobile,Afternoon,Electronics,True,wireless headphones,21,2,False,Relevance,249,False,False
77,Price-sensitive,Direct,Desktop,Morning,Sale,False,,48,10,True,Price Low-High,481,True,True
78,Research,Google,Desktop,Morning,Sale,True,cheap deals,76,11,True,Price Low-High,713,True,False
79,Goal-driven,Google,Desktop,Evening,Running,True,nike shoes,23,6,True,Newest,169,False,False
80,Price-sensitive,Email,Mobile,Morning,Sale,True,discount,66,9,True,Price Low-High,392,False,False
81,Goal-driven,Google,Desktop,Afternoon,Electronics,True,wireless headphones,33,2,True,Relevance,274,True,False
82,Explorer,Facebook,Mobile,Morning,Fashion,False,,81,20,False,Trending,463,False,False
83,Price-sensitive,Google,Desktop,Evening,Sale,False,,45,9,True,Price Low-High,521,False,False
84,Research,Email,Desktop,Morning,Electronics,False,,50,10,True,Price Low-High,535,True,True
85,Research,Email,Desktop,Evening,Running,False,,55,10,True,Highest Rated,492,False,False
86,Price-sensitive,Google,Desktop,Evening,Sale,False,,54,8,True,Price Low-High,246,True,True
87,Goal-driven,Google,Desktop,Evening,Beauty,True,skincare,25,2,False,Relevance,179,False,False
88,Research,Direct,Desktop,Evening,Electronics,True,gaming mouse,60,13,True,Highest Rated,937,False,False
89,Explorer,Facebook,Mobile,Afternoon,Running,False,,84,14,False,Trending,683,False,False
90,Explorer,Instagram,Desktop,Afternoon,Electronics,False,,100,16,False,Trending,607,False,False
91,Price-sensitive,Email,Mobile,Morning,Sale,True,discount,62,5,True,Price Low-High,291,True,False
92,Explorer,Instagram,Desktop,Morning,Running,False,,97,16,False,Trending,419,False,False
93,Research,Google,Desktop,Afternoon,Home,False,,69,12,True,Price Low-High,742,True,False
94,Price-sensitive,Direct,Tablet,Afternoon,Sale,True,discount,47,8,True,Price Low-High,268,True,False
95,Price-sensitive,Email,Mobile,Morning,Sale,True,discount,70,6,True,Price Low-High,570,True,True
96,Research,Email,Desktop,Evening,Home,True,coffee table,51,8,True,Price Low-High,957,False,False
97,Research,Email,Desktop,Morning,Beauty,True,skincare,63,12,True,Price Low-High,820,False,False
98,Goal-driven,Google,Desktop,Morning,Running,True,running shoes,41,5,False,Newest,131,True,True
99,Price-sensitive,Email,Mobile,Morning,Sale,True,discount,51,10,True,Price Low-High,572,False,False
100,Explorer,Direct,Tablet,Morning,Electronics,False,,94,18,False,Trending,579,False,False
101,Goal-driven,Google,Desktop,Morning,Beauty,True,perfume,25,4,True,Newest,181,True,True
102,Goal-driven,Google,Desktop,Afternoon,Electronics,True,gaming mouse,45,2,False,Newest,284,True,True
103,Price-sensitive,Email,Tablet,Evening,Sale,False,,61,8,True,Price Low-High,455,True,True
104,Research,Email,Desktop,Morning,Sale,True,clearance,68,15,True,Price Low-High,528,False,False
105,Explorer,Facebook,Desktop,Morning,Electronics,False,,91,18,False,Trending,448,False,False
106,Explorer,Instagram,Mobile,Afternoon,Electronics,False,,92,19,False,Trending,658,True,False
107,Price-sensitive,Email,Desktop,Evening,Sale,False,,68,5,True,Price Low-High,484,False,False
108,Explorer,Instagram,Desktop,Afternoon,Electronics,False,,83,18,False,Trending,377,False,False
109,Explorer,Facebook,Tablet,Afternoon,Fashion,False,,90,19,False,Trending,877,True,False
110,Price-sensitive,Direct,Desktop,Evening,Sale,True,discount,52,7,True,Price Low-High,473,True,False
111,Goal-driven,Google,Desktop,Evening,Running,True,adidas trainers,46,2,True,Newest,142,True,False
112,Research,Email,Desktop,Evening,Beauty,True,skincare,79,12,True,Price Low-High,838,False,False
113,Explorer,Instagram,Tablet,Evening,Electronics,False,,96,17,False,Trending,385,False,False
114,Research,Direct,Desktop,Afternoon,Fashion,True,white trainers,58,10,True,Highest Rated,517,False,False
115,Research,Direct,Desktop,Evening,Fashion,False,,62,15,True,Highest Rated,815,True,False
116,Price-sensitive,Google,Desktop,Evening,Sale,True,discount,53,9,True,Price Low-High,348,True,False
117,Goal-driven,Google,Mobile,Evening,Running,True,running shoes,36,5,False,Newest,249,True,False
118,Price-sensitive,Direct,Tablet,Evening,Sale,False,,69,5,True,Price Low-High,391,True,False
119,Explorer,Instagram,Tablet,Afternoon,Electronics,False,,100,16,False,Trending,824,False,False
120,Explorer,Instagram,Mobile,Evening,Sale,False,,86,12,False,Trending,637,False,False
121,Price-sensitive,Google,Tablet,Evening,Sale,False,,47,8,True,Price Low-High,242,True,False
122,Research,Email,Desktop,Evening,Electronics,False,,56,15,True,Price Low-High,867,True,False
123,Goal-driven,Google,Desktop,Morning,Beauty,True,skincare,48,2,False,Relevance,185,True,True
124,Explorer,Instagram,Desktop,Morning,Fashion,False,,95,15,False,Trending,706,False,False
125,Explorer,Instagram,Tablet,Evening,Running,False,,89,14,False,Trending,631,False,False
126,Research,Google,Desktop,Evening,Fashion,True,black jacket,57,15,True,Highest Rated,750,False,False
127,Price-sensitive,Direct,Mobile,Afternoon,Sale,False,,45,8,True,Price Low-High,575,True,True
128,Price-sensitive,Google,Desktop,Evening,Sale,False,,48,8,True,Price Low-High,556,True,False
129,Explorer,Facebook,Mobile,Afternoon,Home,False,,80,11,False,Trending,558,True,False
130,Goal-driven,Google,Mobile,Morning,Electronics,True,wireless headphones,36,5,False,Relevance,235,True,False
131,Explorer,Instagram,Mobile,Morning,Sale,False,,91,18,False,Trending,882,False,False
132,Goal-driven,Google,Desktop,Morning,Beauty,True,perfume,38,3,True,Newest,85,True,False
133,Price-sensitive,Email,Desktop,Afternoon,Sale,True,discount,69,9,True,Price Low-High,404,True,False
134,Goal-driven,Google,Mobile,Evening,Running,True,nike shoes,37,6,False,Relevance,94,True,True
135,Explorer,Instagram,Desktop,Morning,Running,False,,99,17,False,Trending,510,False,False
136,Price-sensitive,Google,Desktop,Evening,Sale,False,,41,10,True,Price Low-High,272,False,False
137,Price-sensitive,Google,Tablet,Morning,Sale,False,,50,10,True,Price Low-High,462,True,False
138,Research,Direct,Desktop,Morning,Sale,True,cheap deals,57,13,True,Price Low-High,811,False,False
139,Goal-driven,Direct,Mobile,Afternoon,Electronics,True,gaming mouse,31,3,False,Relevance,169,True,False
140,Explorer,Instagram,Mobile,Morning,Fashion,False,,97,10,False,Trending,810,False,False
141,Goal-driven,Google,Mobile,Evening,Running,True,nike shoes,35,5,False,Newest,103,True,True
142,Research,Email,Desktop,Evening,Electronics,False,,65,9,True,Highest Rated,750,False,False
143,Goal-driven,Google,Desktop,Evening,Beauty,True,skincare,37,3,False,Relevance,246,True,True
144,Goal-driven,Google,Desktop,Morning,Electronics,True,wireless headphones,23,2,False,Newest,245,True,False
145,Goal-driven,Google,Desktop,Evening,Electronics,True,monitor,48,4,False,Newest,244,False,False
146,Goal-driven,Google,Desktop,Afternoon,Running,True,adidas trainers,32,5,True,Newest,222,True,True
147,Explorer,Instagram,Desktop,Morning,Sale,False,,97,19,False,Trending,548,True,False
148,Goal-driven,Google,Mobile,Morning,Electronics,True,monitor,30,3,False,Relevance,80,True,False
149,Price-sensitive,Direct,Mobile,Afternoon,Sale,True,discount,52,8,True,Price Low-High,308,False,False
150,Goal-driven,Google,Desktop,Afternoon,Beauty,True,lipstick,33,5,True,Newest,61,True,True
151,Price-sensitive,Google,Mobile,Evening,Sale,False,,46,6,True,Price Low-High,431,True,False
152,Explorer,Instagram,Tablet,Afternoon,Electronics,False,,85,18,False,Trending,353,False,False
153,Research,Google,Desktop,Morning,Electronics,True,gaming mouse,79,13,True,Highest Rated,801,True,False
154,Goal-driven,Direct,Desktop,Morning,Electronics,True,monitor,39,6,False,Newest,298,True,True
155,Research,Direct,Desktop,Evening,Sale,False,,66,13,True,Price Low-High,581,True,False
156,Explorer,Instagram,Desktop,Morning,Fashion,False,,80,14,False,Trending,460,False,False
157,Goal-driven,Google,Mobile,Evening,Beauty,True,skincare,31,2,False,Newest,222,False,False
158,Price-sensitive,Email,Tablet,Morning,Sale,True,discount,47,8,True,Price Low-High,423,True,False
159,Price-sensitive,Google,Mobile,Evening,Sale,False,,67,10,True,Price Low-High,407,False,False
160,Explorer,Facebook,Mobile,Morning,Fashion,False,,80,17,False,Trending,539,False,False
161,Goal-driven,Google,Desktop,Morning,Electronics,True,wireless headphones,27,2,False,Relevance,103,False,False
162,Price-sensitive,Direct,Tablet,Evening,Sale,False,,46,5,True,Price Low-High,408,True,True
163,Price-sensitive,Google,Mobile,Afternoon,Sale,True,discount,43,9,True,Price Low-High,448,True,False
164,Price-sensitive,Google,Desktop,Evening,Sale,False,,54,9,True,Price Low-High,430,True,False
165,Explorer,Facebook,Mobile,Morning,Fashion,False,,85,19,False,Trending,429,False,False
166,Research,Google,Desktop,Evening,Sale,True,cheap deals,61,14,True,Price Low-High,429,False,False
167,Explorer,Facebook,Mobile,Morning,Electronics,False,,84,10,False,Trending,487,False,False
168,Goal-driven,Google,Desktop,Afternoon,Running,True,running shoes,24,6,True,Relevance,209,True,False
169,Goal-driven,Google,Desktop,Evening,Beauty,True,perfume,36,6,False,Newest,134,False,False
170,Price-sensitive,Google,Tablet,Afternoon,Sale,False,,56,8,True,Price Low-High,432,True,True
171,Explorer,Facebook,Tablet,Evening,Running,False,,92,14,False,Trending,838,False,False
172,Price-sensitive,Email,Desktop,Afternoon,Sale,False,,41,10,True,Price Low-High,302,False,False
173,Goal-driven,Google,Mobile,Afternoon,Electronics,True,gaming mouse,35,6,False,Newest,87,True,True
174,Goal-driven,Google,Mobile,Evening,Running,True,nike shoes,26,5,False,Relevance,209,True,False
175,Goal-driven,Google,Mobile,Evening,Electronics,True,monitor,47,4,False,Relevance,179,True,True
176,Goal-driven,Direct,Desktop,Evening,Running,True,adidas trainers,24,3,True,Newest,128,True,False
177,Explorer,Instagram,Mobile,Afternoon,Sale,False,,94,14,False,Trending,667,False,False
178,Research,Direct,Desktop,Afternoon,Electronics,False,,51,10,True,Price Low-High,765,True,False
179,Price-sensitive,Direct,Mobile,Morning,Sale,True,discount,49,7,True,Price Low-High,279,True,True
180,Explorer,Instagram,Tablet,Evening,Fashion,False,,83,14,False,Trending,845,True,False
181,Price-sensitive,Google,Mobile,Morning,Sale,False,,41,7,True,Price Low-High,236,False,False
182,Research,Google,Desktop,Morning,Electronics,False,,71,10,True,Highest Rated,871,False,False
183,Explorer,Instagram,Desktop,Evening,Sale,False,,86,11,False,Trending,787,False,False
184,Price-sensitive,Google,Desktop,Evening,Sale,True,discount,57,9,True,Price Low-High,416,False,False
185,Explorer,Instagram,Tablet,Morning,Fashion,False,,96,13,False,Trending,878,False,False
186,Explorer,Instagram,Mobile,Evening,Running,False,,99,11,False,Trending,494,False,False
187,Price-sensitive,Direct,Mobile,Morning,Sale,True,discount,50,8,True,Price Low-High,454,True,False
188,Goal-driven,Google,Mobile,Morning,Beauty,True,perfume,36,2,False,Newest,88,True,False
189,Research,Google,Desktop,Afternoon,Running,True,adidas trainers,51,13,True,Price Low-High,739,True,False
190,Explorer,Instagram,Tablet,Afternoon,Home,False,,96,20,False,Trending,307,False,False
191,Explorer,Instagram,Mobile,Morning,Electronics,False,,93,15,False,Trending,429,False,False
192,Goal-driven,Google,Mobile,Afternoon,Beauty,True,perfume,47,2,True,Relevance,280,True,True
193,Goal-driven,Google,Mobile,Afternoon,Electronics,True,gaming mouse,31,3,False,Relevance,240,True,False
194,Explorer,Direct,Desktop,Evening,Beauty,False,,100,11,False,Trending,808,False,False
195,Explorer,Direct,Mobile,Afternoon,Running,False,,86,15,False,Trending,724,False,False
196,Explorer,Instagram,Desktop,Afternoon,Beauty,False,,91,16,False,Trending,492,False,False
197,Goal-driven,Google,Mobile,Afternoon,Electronics,True,gaming mouse,29,2,False,Relevance,179,True,False
198,Explorer,Instagram,Mobile,Evening,Home,False,,87,20,False,Trending,368,False,False
199,Price-sensitive,Google,Tablet,Evening,Sale,True,discount,70,5,True,Price Low-High,556,False,False
200,Research,Direct,Desktop,Morning,Sale,False,,50,13,True,Price Low-High,411,True,False
201,Research,Direct,Desktop,Morning,Fashion,False,,51,11,True,Highest Rated,462,False,False
202,Explorer,Instagram,Mobile,Evening,Home,False,,92,14,False,Trending,598,False,False
203,Explorer,Instagram,Tablet,Evening,Home,False,,92,20,False,Trending,792,False,False
204,Research,Google,Desktop,Evening,Electronics,False,,65,8,True,Highest Rated,666,False,False
205,Goal-driven,Google,Desktop,Morning,Running,True,nike shoes,43,5,False,Relevance,300,False,False
206,Goal-driven,Google,Desktop,Evening,Running,True,running shoes,22,4,False,Newest,64,True,True
207,Price-sensitive,Google,Desktop,Evening,Sale,False,,52,8,True,Price Low-High,205,False,False
208,Research,Direct,Desktop,Evening,Running,True,nike shoes,67,11,True,Highest Rated,956,True,False
209,Goal-driven,Google,Mobile,Afternoon,Electronics,True,monitor,31,2,False,Newest,92,True,False
210,Goal-driven,Google,Desktop,Evening,Beauty,True,perfume,23,4,False,Newest,203,False,False
211,Research,Direct,Desktop,Afternoon,Fashion,True,white trainers,53,13,True,Price Low-High,652,False,False
212,Price-sensitive,Direct,Tablet,Evening,Sale,False,,70,10,True,Price Low-High,484,False,False
213,Research,Google,Desktop,Afternoon,Electronics,False,,62,8,True,Price Low-High,448,False,False
214,Price-sensitive,Email,Tablet,Afternoon,Sale,False,,55,10,True,Price Low-High,201,False,False
215,Goal-driven,Google,Desktop,Morning,Electronics,True,wireless headphones,39,2,False,Relevance,234,True,False
216,Price-sensitive,Direct,Tablet,Evening,Sale,False,,54,8,True,Price Low-High,532,False,False
217,Explorer,Instagram,Mobile,Morning,Fashion,False,,89,11,False,Trending,361,False,False
218,Research,Email,Desktop,Afternoon,Fashion,True,white trainers,53,15,True,Highest Rated,625,True,True
219,Explorer,Instagram,Tablet,Morning,Home,False,,91,16,False,Trending,771,False,False
220,Explorer,Instagram,Mobile,Afternoon,Running,False,,92,14,False,Trending,344,False,False
221,Goal-driven,Direct,Mobile,Afternoon,Electronics,True,monitor,43,6,False,Relevance,127,False,False
222,Explorer,Instagram,Mobile,Afternoon,Fashion,False,,88,18,False,Trending,403,False,False
223,Research,Email,Desktop,Evening,Running,True,adidas trainers,52,12,True,Price Low-High,651,True,False
224,Goal-driven,Google,Mobile,Morning,Beauty,True,lipstick,24,2,True,Relevance,223,True,True
225,Research,Direct,Desktop,Morning,Fashion,True,white trainers,80,14,True,Highest Rated,743,True,True
226,Price-sensitive,Email,Mobile,Morning,Sale,True,discount,66,5,True,Price Low-High,431,False,False
227,Explorer,Facebook,Desktop,Morning,Sale,False,,89,12,False,Trending,342,False,False
228,Goal-driven,Google,Desktop,Afternoon,Beauty,True,skincare,20,4,False,Relevance,293,True,True
229,Research,Direct,Desktop,Evening,Running,True,running shoes,76,9,True,Highest Rated,712,True,False
230,Price-sensitive,Direct,Mobile,Afternoon,Sale,True,discount,64,8,True,Price Low-High,476,False,False
231,Research,Google,Desktop,Evening,Sale,True,cheap deals,57,12,True,Price Low-High,630,False,False
232,Price-sensitive,Direct,Mobile,Morning,Sale,False,,57,8,True,Price Low-High,314,True,True
233,Goal-driven,Google,Mobile,Morning,Electronics,True,wireless headphones,47,5,True,Relevance,103,False,False
234,Price-sensitive,Google,Mobile,Afternoon,Sale,True,discount,49,6,True,Price Low-High,537,True,False
235,Explorer,Facebook,Tablet,Afternoon,Electronics,False,,83,20,False,Trending,854,True,False
236,Goal-driven,Google,Desktop,Evening,Electronics,True,wireless headphones,38,3,False,Newest,138,True,True
237,Goal-driven,Google,Desktop,Afternoon,Beauty,True,perfume,38,5,False,Relevance,264,True,False
238,Goal-driven,Google,Mobile,Morning,Running,True,adidas trainers,27,2,False,Relevance,234,True,True
239,Research,Direct,Desktop,Morning,Electronics,True,monitor,80,11,True,Price Low-High,410,False,False
240,Goal-driven,Google,Mobile,Afternoon,Beauty,True,perfume,28,2,True,Relevance,177,True,False
241,Price-sensitive,Direct,Tablet,Afternoon,Sale,False,,40,5,True,Price Low-High,332,True,True
242,Explorer,Instagram,Mobile,Afternoon,Running,False,,85,11,False,Trending,850,False,False
243,Explorer,Instagram,Tablet,Morning,Beauty,False,,89,18,False,Trending,387,True,False
244,Goal-driven,Google,Desktop,Morning,Beauty,True,skincare,39,5,False,Newest,82,True,False
245,Research,Google,Desktop,Evening,Home,True,desk lamp,63,12,True,Highest Rated,483,False,False
246,Price-sensitive,Google,Desktop,Evening,Sale,True,discount,57,9,True,Price Low-High,514,False,False
247,Price-sensitive,Google,Tablet,Afternoon,Sale,False,,46,10,True,Price Low-High,549,True,True
248,Explorer,Direct,Mobile,Morning,Running,False,,85,17,False,Trending,895,True,False
249,Price-sensitive,Direct,Desktop,Morning,Sale,False,,61,8,True,Price Low-High,493,True,False
250,Research,Direct,Desktop,Evening,Fashion,True,black jacket,76,10,True,Price Low-High,813,True,False
251,Goal-driven,Google,Mobile,Evening,Beauty,True,lipstick,20,4,True,Newest,156,True,True
252,Goal-driven,Google,Desktop,Afternoon,Beauty,True,perfume,44,3,True,Newest,201,True,True
253,Research,Direct,Desktop,Evening,Sale,False,,56,9,True,Highest Rated,870,True,True
254,Research,Email,Desktop,Morning,Running,True,nike shoes,69,11,True,Highest Rated,490,True,False
255,Goal-driven,Google,Desktop,Morning,Beauty,True,skincare,34,2,False,Newest,73,True,True
256,Explorer,Instagram,Tablet,Evening,Fashion,False,,90,10,False,Trending,897,False,False
257,Goal-driven,Google,Mobile,Morning,Beauty,True,lipstick,38,4,True,Newest,284,True,True
258,Explorer,Instagram,Desktop,Afternoon,Sale,False,,87,13,False,Trending,561,False,False
259,Explorer,Direct,Desktop,Evening,Beauty,False,,92,20,False,Trending,508,False,False
260,Price-sensitive,Email,Tablet,Afternoon,Sale,False,,61,5,True,Price Low-High,399,True,False
261,Goal-driven,Google,Desktop,Morning,Electronics,True,monitor,20,5,False,Relevance,96,True,False
262,Goal-driven,Direct,Desktop,Morning,Running,True,nike shoes,44,2,True,Relevance,86,True,True
263,Research,Email,Desktop,Afternoon,Electronics,True,gaming mouse,62,15,True,Highest Rated,714,True,False
264,Price-sensitive,Direct,Tablet,Afternoon,Sale,True,discount,58,10,True,Price Low-High,291,True,True
265,Goal-driven,Google,Mobile,Evening,Electronics,True,gaming mouse,48,4,False,Relevance,257,True,False
266,Explorer,Direct,Desktop,Evening,Electronics,False,,88,11,False,Trending,890,False,False
267,Price-sensitive,Google,Mobile,Morning,Sale,False,,54,10,True,Price Low-High,584,False,False
268,Goal-driven,Google,Mobile,Morning,Running,True,adidas trainers,46,6,True,Newest,184,True,False
269,Explorer,Direct,Tablet,Morning,Sale,False,,91,18,False,Trending,377,True,False
270,Goal-driven,Google,Desktop,Morning,Running,True,running shoes,31,5,False,Newest,83,False,False
271,Goal-driven,Google,Mobile,Evening,Electronics,True,monitor,21,2,True,Relevance,268,True,True
272,Goal-driven,Google,Mobile,Afternoon,Running,True,adidas trainers,22,4,True,Relevance,110,True,True
273,Explorer,Instagram,Desktop,Evening,Fashion,False,,82,16,False,Trending,773,False,False
274,Research,Email,Desktop,Morning,Electronics,True,monitor,60,11,True,Highest Rated,442,True,False
275,Explorer,Instagram,Desktop,Evening,Fashion,False,,87,20,False,Trending,693,False,False
276,Research,Email,Desktop,Evening,Fashion,False,,61,12,True,Highest Rated,796,False,False
277,Research,Email,Desktop,Morning,Sale,True,discount,74,14,True,Highest Rated,464,True,True
278,Goal-driven,Direct,Desktop,Afternoon,Running,True,nike shoes,39,6,True,Relevance,244,True,True
279,Research,Google,Desktop,Evening,Home,True,coffee table,63,15,True,Highest Rated,597,True,False
280,Price-sensitive,Google,Tablet,Morning,Sale,False,,45,9,True,Price Low-High,272,True,False
281,Price-sensitive,Email,Tablet,Evening,Sale,False,,58,7,True,Price Low-High,600,False,False
282,Price-sensitive,Direct,Desktop,Morning,Sale,True,discount,43,7,True,Price Low-High,206,True,True
283,Explorer,Direct,Desktop,Afternoon,Electronics,False,,88,15,False,Trending,674,False,False
284,Explorer,Facebook,Mobile,Evening,Running,False,,82,14,False,Trending,763,False,False
285,Price-sensitive,Direct,Tablet,Evening,Sale,False,,40,8,True,Price Low-High,394,True,False
286,Explorer,Facebook,Mobile,Morning,Sale,False,,89,17,False,Trending,690,False,False
287,Goal-driven,Google,Mobile,Morning,Electronics,True,monitor,49,4,False,Relevance,185,False,False
288,Price-sensitive,Google,Tablet,Evening,Sale,False,,47,7,True,Price Low-High,312,False,False
